"Main food description","Categoria","Calorias (kcal)","Proteina (g)","Carbohidrats (g)","Azucares totales
(g)","Fibra  (g)","Grasa (g)","Grasa saturada (g)","Grasa monoinsaturada (g)","Grasa poliinsaturada (g)","Colesterol (mg)","Retinol (mcg)","Vitamin A, RAE (mcg_RAE)","Caroteno, alpha (mcg)","Caroteno, beta (mcg)","Cryptoxanthin, beta (mcg)","Licopeno (mcg)","Luteina + zeaxanthin (mcg)","Tiamina (mg)","Riboflavina (mg)","Niacina (mg)","Vitamin B-6 (mg)","Acido folico(mcg)","Folato (mcg)","Folato, DFE (mcg_DFE)","Folato total (mcg)","Colina (mg)","Vitamina B-12 (mcg)","Vitamin B-12, added
(mcg)","Vitamina C (mg)","Vitamina D (D2 + D3) (mcg)","Vitamina E (alpha-tocopherol) (mg)","Vitamin E, added
(mg)","Vitamina K (phylloquinone) (mcg)","Calcio (mg)","fosforo (mg)","Magnesio (mg)","Hierro
(mg)","Zinc
(mg)","Cobre (mg)","Selenio (mcg)","Potasio (mg)","Sodio (mg)","Cafeina (mg)","Teobromina (mg)","Alcohol (g)","4:0
(g)","6:0
(g)","8:0
(g)","10:0
(g)","12:0
(g)","14:0
(g)","16:0
(g)","18:0
(g)","16:1
(g)","18:1
(g)","20:1
(g)","22:1
(g)","18:2
(g)","18:3
(g)","18:4
(g)","20:4
(g)","20:5 n-3
(g)","22:5 n-3
(g)","22:6 n-3
(g)","Agua
(g)"
"Kishke, stuffed derma","Turnovers and other grain-based items","460","4.72","35.1","1.1","1.6","33.02","16.297","13.654","1.486","35","0","0","0","1","0","0","9","0.28","0.197","2.313","0.044","46","12","91","59","31.7","0","0","1.3","0.2","0.91","0","0.5","13","53","12","2.06","0.34","0.073","14.8","82","401","0","0","0","0","0","0","0","0.293","1.206","8.181","6.159","1.368","11.765","0.098","0","1.182","0.206","0","0","0","0","0","25.84"
"Kit Kat","Candy containing chocolate","518","6.51","64.59","48.68","1","25.99","17.953","5.844","0.895","11","24","24","0","0","0","0","23","0.117","0.21","0.5","0.02","6","8","18","14","31","0.56","0","0","0","0.34","0","5.2","125","135","37","1","0.09","0.22","5","231","54","14","116","0","0.136","0.117","0.502","0.508","4.913","1.748","4.978","4.802","0.149","5.696","0","0","0.821","0.075","0","0","0","0","0","1.63"
"Kit Kat White","Candy not containing chocolate","518","6.51","64.59","48.68","1","25.99","17.953","5.844","0.895","11","24","24","0","0","0","0","23","0.117","0.21","0.5","0.02","6","8","18","14","31","0.56","0","0","0","0.34","0","5.2","125","135","37","1","0.09","0.22","5","231","54","14","116","0","0.136","0.117","0.502","0.508","4.913","1.748","4.978","4.802","0.149","5.696","0","0","0.821","0.075","0","0","0","0","0","1.63"
"Kiwi fruit, raw","Other fruits and fruit salads","58","1.06","14","8.99","3","0.44","0.029","0.047","0.287","0","0","4","0","52","0","0","122","0.027","0.025","0.37","0.061","0","26","26","26","7.8","0","0","74.7","0","1.3","0","40.3","35","34","16","0.24","0.14","0.134","0.2","198","5","0","0","0","0","0","0","0","0","0","0.017","0.012","0","0.047","0","0","0.246","0.042","0","0","0","0","0","83.9"
"Knish, cheese","Turnovers and other grain-based items","342","10.16","31.11","1.02","1.1","19.46","4.215","8.627","5.341","83","194","205","0","123","2","0","111","0.26","0.322","2.119","0.062","42","18","90","60","59.4","0.24","0","0","1.2","2.02","0","18.5","45","134","14","2.21","0.67","0.081","22.6","107","437","0","0","0","0.035","0.008","0.008","0.021","0.022","0.098","2.412","1.485","0.065","8.516","0.032","0","4.852","0.422","0","0.039","0","0.003","0.012","37.63"
"Knish, meat","Turnovers and other grain-based items","349","13.12","25.65","0.74","1.1","21.28","5.192","9.776","4.956","95","168","177","0","109","2","0","101","0.225","0.283","3.157","0.165","34","18","76","52","73.6","0.92","0","0.8","1","1.86","0","17.3","26","131","17","2.54","2.26","0.088","22.7","170","421","0","0","0","0.001","0","0.001","0.001","0.003","0.153","3.004","1.825","0.221","9.391","0.044","0","4.484","0.395","0","0.049","0","0.003","0.011","38.46"
"Knish, potato","Turnovers and other grain-based items","349","7.59","33.81","0.62","1.5","20.32","4.197","9.368","5.872","85","198","209","0","128","2","0","121","0.263","0.278","2.414","0.12","40","18","86","58","63","0.18","0","1.5","1.2","2.15","0","20.4","22","99","17","2.25","0.64","0.112","20","155","365","0","0","0","0.001","0","0.001","0.002","0.002","0.025","2.517","1.522","0.108","9.201","0.046","0","5.336","0.456","0","0.044","0","0.003","0.014","36.86"
"Knockwurst","Sausages","307","11.1","3.2","0","0","27.7","10.21","12.81","2.92","60","0","0","0","0","0","0","0","0.342","0.14","2.734","0.17","0","2","2","2","55","1.18","0","0","1.1","0.57","0","1.6","11","98","11","0.66","1.66","0.06","13.5","199","930","0","0","0","0","0","0","0.11","0.09","0.58","5.97","3.46","1.28","11.53","0","0","2.48","0.44","0","0","0","0","0","55.3"
"Kohlrabi, cooked","Other vegetables and combinations","51","1.72","6.26","2.62","3.6","2.74","0.764","0.978","0.856","2","11","13","0","26","0","0","0","0.045","0.02","0.384","0.153","0","14","14","14","12.6","0","0","53.1","0","0.79","0","2.5","25","47","19","0.41","0.03","0.13","0.7","353","147","0","0","0","0.029","0.018","0.011","0.023","0.024","0.068","0.397","0.171","0.014","0.955","0.008","0","0.733","0.121","0","0","0","0","0","87.94"
"Kohlrabi, raw","Other vegetables and combinations","27","1.7","6.2","2.6","3.6","0.1","0.013","0.007","0.048","0","0","2","0","22","0","0","0","0.05","0.02","0.4","0.15","0","16","16","16","12.3","0","0","62","0","0.48","0","0.1","24","46","19","0.4","0.03","0.129","0.7","350","20","0","0","0","0","0","0","0","0","0","0.011","0.001","0","0.007","0","0","0.02","0.026","0","0","0","0","0","91"
"Korean dressing or marinade","Salad dressings and vegetable oils","342","3.18","12.8","10.18","0.5","31.34","4.26","13.112","12.856","0","0","0","0","0","0","0","6","0.024","0.062","0.819","0.07","0","7","7","7","8.2","0","0","0.1","0","3.54","0","35","17","71","31","0.78","0.4","0.03","2.9","185","1845","0","0","0","0","0","0","0.004","0","0.001","3.016","1.012","0.108","12.715","0.166","0.103","11.3","1.551","0","0","0","0","0","46.23"
"Kumquat, raw","Citrus fruits","71","1.88","15.9","9.36","6.5","0.86","0.103","0.154","0.171","0","0","15","155","0","193","0","129","0.037","0.09","0.429","0.036","0","17","17","17","8.4","0","0","43.9","0","0.15","0","0","62","19","20","0.86","0.17","0.095","0","186","10","0","0","0","0","0","0","0","0","0.004","0.09","0.004","0.021","0.137","0","0","0.124","0.047","0","0","0","0","0","80.85"
"Kung Pao beef","Stir-fry and soy-based sauce mixtures","218","18.34","4.79","1.46","1.1","14.58","3.205","6.532","3.431","46","0","15","2","159","41","0","49","0.057","0.125","4.353","0.287","0","20","20","20","66.6","0.89","0","10.8","0.1","1.36","0","15.3","16","142","29","1.62","2.95","0.098","17.1","242","180","0","0","0","0","0","0","0.01","0.01","0.139","1.996","0.805","0.221","6.222","0.082","0.004","3.107","0.299","0","0.012","0.002","0.008","0.001","61.06"
"Kung pao chicken","Stir-fry and soy-based sauce mixtures","129","9.76","6.87","3.03","1.5","6.98","1.352","2.173","3.02","26","0","65","341","601","16","0","226","0.032","0.055","2.757","0.243","0","16","16","16","37.4","0.11","0","7.1","0","1.02","0","13.6","20","94","24","0.76","0.74","0.073","8.1","218","402","0","0","0","0.003","0","0.002","0.001","0.002","0.014","0.904","0.295","0.077","2.044","0.04","0.003","2.714","0.246","0","0.031","0.003","0.004","0.003","74.78"
"Kung Pao pork","Stir-fry and soy-based sauce mixtures","221","17.3","4.79","1.46","1.1","14.89","3.253","6.777","3.63","41","1","16","2","159","41","0","49","0.536","0.209","4.623","0.362","0","15","15","15","57.2","0.4","0","11.1","0.4","1.25","0","14.5","22","171","33","0.89","1.6","0.09","18.9","330","189","0","0","0","0","0","0","0.005","0.005","0.065","2.017","0.881","0.185","6.442","0.12","0.004","3.321","0.265","0","0.022","0","0","0","61.79"
"Kung Pao shrimp","Stir-fry and soy-based sauce mixtures","175","14.34","5.56","1.46","1.1","10.88","1.74","4.772","3.544","107","43","58","2","159","41","0","49","0.035","0.054","2.927","0.193","0","24","24","24","76","0.74","0","10.8","0.1","2.26","0","14.7","59","199","37","0.5","1.14","0.191","26.1","201","216","0","0","0","0","0","0","0","0.005","0.015","1.062","0.388","0.049","4.591","0.077","0.004","3.084","0.261","0","0.035","0.068","0.006","0.071","67.13"
"Ladoo, round ball, Asian-Indian dessert","Candy not containing chocolate","401","6.92","46.74","29.68","4","21.98","12.813","5.614","1.642","53","165","169","0","50","0","0","0","0.103","0.065","0.364","0.123","0","110","110","110","37.2","0.04","0","0.9","0","0.84","0","4.7","26","84","24","1.29","0.84","0.174","0.4","196","169","0","0","0","0.792","0.493","0.292","0.621","0.635","1.829","5.495","2.484","0.24","5.349","0.025","0","1.531","0.111","0","0","0","0","0","22.85"
"Lamb chop, NS as to cut, cooked, lean and fat eaten","Lamb, goat, game","313","24.96","0","0","0","22.89","9.748","9.619","1.666","99","0","0","0","0","0","0","0","0.099","0.248","7.041","0.129","0","18","18","18","93","2.45","0","0","0.1","0.13","0","4.8","20","194","24","1.8","3.45","0.129","27.2","324","399","0","0","0","0","0","0","0.06","0.099","0.912","4.939","3.124","0.664","8.717","0","0","1.25","0.347","0","0.069","0","0","0","51.14"
"Lamb chop, NS as to cut, cooked, lean only eaten","Lamb, goat, game","214","29.74","0","0","0","9.65","3.451","4.225","0.635","94","0","0","0","0","0","0","0","0.109","0.278","6.793","0.159","0","24","24","24","107.4","2.5","0","0","0.1","0.16","0","3.9","19","224","28","1.98","4.1","0.144","32.5","373","406","0","0","0","0","0","0","0.02","0.03","0.298","1.854","1.19","0.288","3.917","0","0","0.516","0.06","0","0.06","0","0","0","60.48"
"Lamb chop, NS as to cut, cooked, NS as to fat eaten","Lamb, goat, game","313","24.96","0","0","0","22.89","9.748","9.619","1.666","99","0","0","0","0","0","0","0","0.099","0.248","7.041","0.129","0","18","18","18","93","2.45","0","0","0.1","0.13","0","4.8","20","194","24","1.8","3.45","0.129","27.2","324","399","0","0","0","0","0","0","0.06","0.099","0.912","4.939","3.124","0.664","8.717","0","0","1.25","0.347","0","0.069","0","0","0","51.14"
"Lamb hocks, cooked","Lamb, goat, game","241","28.13","0","0","0","13.35","5.583","5.633","0.962","105","0","0","0","0","0","0","0","0.05","0.188","5.415","0.099","0","17","17","17","109.1","2.26","0","0","0.1","0.18","0","4.3","20","165","22","2.12","7.63","0.122","30.3","255","394","0","0","0","0","0","0","0.03","0.06","0.516","2.846","1.805","0.387","5.117","0","0","0.724","0.188","0","0.05","0","0","0","56.33"
"Lamb or mutton and noodles with gravy","Meat mixed dishes","141","6.8","15.63","0.32","0.7","5.48","1.904","2.12","0.689","34","4","4","0","1","0","0","21","0.184","0.134","2.342","0.055","42","8","80","50","30.9","0.47","0","0","0.1","0.15","0","1","13","80","16","1.15","1.12","0.08","17.7","86","314","0","0","0","0","0","0","0.008","0.016","0.143","1.091","0.552","0.164","1.916","0.004","0","0.602","0.072","0","0.013","0","0","0","70.89"
"Lamb or mutton and potatoes with gravy","Meat mixed dishes","129","5.13","12.53","0.58","1","6.46","1.948","2.669","1.29","17","0","0","0","1","0","0","5","0.077","0.068","1.881","0.175","0","8","8","8","23.5","0.41","0","4","0","0.31","0","4.7","11","59","16","0.5","0.9","0.116","4.6","241","308","0","0","0","0","0","0","0.009","0.017","0.138","1.104","0.573","0.145","2.475","0.013","0","1.105","0.17","0","0.013","0","0","0","74.58"
"Lamb or mutton and potatoes with tomato-based sauce","Meat mixed dishes","125","5.26","12.48","1.63","1.5","6.22","1.82","2.566","1.414","16","0","7","0","84","1","4486","13","0.077","0.072","2.101","0.197","0","11","11","11","25.4","0.41","0","6.2","0","0.81","0","6","12","61","19","0.78","0.94","0.146","4.6","322","301","0","0","0","0","0","0","0.009","0.016","0.133","1.004","0.55","0.109","2.411","0.011","0","1.21","0.192","0","0.011","0","0","0","74.55"
"Lamb or mutton goulash","Meat mixed dishes","124","13.07","3.1","1.19","0.4","6.38","1.839","2.57","1.215","43","0","6","0","65","5","1513","25","0.056","0.109","2.313","0.09","2","14","16","15","49.9","1.08","0","12.7","0.1","0.45","0","5","16","87","14","1.19","2.98","0.066","14.9","163","240","0","0","0","0","0","0","0.006","0.013","0.117","1.044","0.579","0.142","2.387","0.008","0","1.012","0.158","0","0.039","0","0","0","76.3"
"Lamb or mutton loaf","Meat mixed dishes","183","13.1","7.42","4.7","0.3","11.04","4.614","4.383","1.048","79","27","33","14","57","33","0","75","0.07","0.197","3.18","0.092","2","15","19","17","62.4","1.3","0","0.5","0.5","0.24","0","11.4","52","136","17","1.34","2.77","0.075","16.6","183","466","0","0","0","0.01","0.007","0.005","0.036","0.052","0.404","2.401","1.409","0.303","3.952","0.006","0.01","0.796","0.184","0","0.06","0","0.001","0.005","66.46"
"Lamb or mutton stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy","Meat mixed dishes","106","9.31","11.92","1.34","1.8","2.31","0.868","0.898","0.224","22","0","23","4","269","0","0","520","0.12","0.084","2.171","0.158","0","21","21","21","38.6","0.57","0","5.1","0","0.06","0","7","13","80","19","1.15","1.77","0.136","8.3","222","256","0","0","0","0","0","0","0.002","0.009","0.063","0.47","0.297","0.073","0.809","0.002","0","0.17","0.035","0","0.016","0","0","0","75.16"
"Lamb or mutton stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce","Meat mixed dishes","100","8.75","11.91","1.96","1.9","1.92","0.66","0.724","0.23","22","0","26","4","312","1","2499","517","0.117","0.089","2.202","0.172","0","21","21","21","38.6","0.55","0","6.3","0","0.32","0","7.4","14","78","21","1.19","1.61","0.138","8.1","261","285","0","0","0","0","0","0","0.002","0.005","0.047","0.364","0.215","0.055","0.655","0","0","0.177","0.034","0","0.016","0","0","0","75.93"
"Lamb or mutton stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy","Meat mixed dishes","103","8.8","11.66","1.07","1.7","2.28","0.861","0.892","0.211","22","0","47","210","452","0","0","142","0.074","0.089","2.03","0.149","0","12","12","12","37.8","0.57","0","3.6","0","0.13","0","6.9","13","74","19","0.99","1.72","0.131","8.1","234","303","0","0","0","0","0","0","0.002","0.009","0.063","0.464","0.296","0.073","0.803","0.002","0","0.158","0.034","0","0.016","0","0","0","75.87"
"Lamb or mutton stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce","Meat mixed dishes","97","8.25","11.66","1.69","1.9","1.89","0.655","0.72","0.217","22","0","50","207","492","1","2494","144","0.072","0.093","2.066","0.163","0","13","13","13","37.9","0.55","0","4.8","0","0.4","0","7.3","14","73","21","1.04","1.57","0.133","7.9","273","277","0","0","0","0","0","0","0.002","0.005","0.046","0.36","0.214","0.055","0.651","0","0","0.166","0.033","0","0.016","0","0","0","76.73"
"Lamb or mutton stew with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, gravy","Meat mixed dishes","122","14.41","6.83","1.77","1.8","3.83","1.355","1.508","0.397","39","0","41","8","486","0","0","933","0.142","0.135","2.787","0.091","0","31","31","31","57.4","0.97","0","3.8","0","0.1","0","11","17","108","19","1.68","2.71","0.106","14","150","376","0","0","0","0","0","0","0.004","0.01","0.094","0.756","0.445","0.122","1.357","0.003","0","0.309","0.055","0","0.029","0","0","0","73.33"
"Lamb or mutton stew with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, gravy","Meat mixed dishes","117","13.52","6.37","1.28","1.8","3.79","1.348","1.502","0.375","39","0","83","376","809","0","0","248","0.059","0.142","2.543","0.075","0","15","15","15","56.1","0.97","0","1.2","0","0.23","0","10.8","17","98","19","1.4","2.64","0.097","13.7","173","361","0","0","0","0","0","0","0.004","0.01","0.094","0.749","0.444","0.122","1.351","0.003","0","0.289","0.053","0","0.029","0","0","0","74.77"
"Lamb or mutton with gravy","Meat mixed dishes","219","17.29","1.58","0.09","0","15.37","6.341","6.45","1.173","69","0","0","0","0","0","0","0","0.077","0.19","4.724","0.098","0","13","13","13","66.4","1.78","0","0","0.1","0.13","0","3.4","15","137","17","1.34","3.13","0.089","18.5","228","359","0","0","0","0","0","0","0.035","0.063","0.576","3.266","2.016","0.46","5.839","0.004","0","0.907","0.215","0","0.05","0","0","0","64.37"
"Lamb or mutton, rice, and vegetables  including carrots, broccoli, and/or dark-green leafy; gravy","Meat mixed dishes","132","5.02","15.2","0.6","0.8","5.5","1.649","2.253","1.119","14","0","81","334","788","0","0","159","0.1","0.064","1.71","0.085","25","10","52","35","16.7","0.34","0","3.8","0","0.48","0","12","16","57","11","0.92","0.9","0.062","7.1","99","315","0","0","0","0","0","0","0.007","0.013","0.116","0.949","0.476","0.12","2.092","0.011","0","0.956","0.15","0","0.01","0","0","0","73.06"
"Lamb or mutton, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy","Meat mixed dishes","136","5.05","16.34","0.55","0.7","5.51","1.65","2.268","1.12","14","0","3","6","25","11","0","107","0.099","0.067","1.784","0.08","25","9","52","34","17.7","0.34","0","0.7","0","0.28","0","6.3","14","60","13","0.92","0.92","0.062","7.1","104","309","0","0","0","0","0","0","0.007","0.013","0.115","0.95","0.476","0.12","2.107","0.011","0","0.96","0.147","0","0.01","0","0","0","71.93"
"Lamb or mutton, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce","Meat mixed dishes","129","5.13","15.15","1.47","1.1","5.31","1.544","2.169","1.222","13","0","86","333","854","1","3719","164","0.1","0.067","1.893","0.104","25","12","54","37","18.3","0.34","0","5.7","0","0.89","0","13.1","17","59","15","1.15","0.93","0.088","7.2","166","316","0","0","0","0","0","0","0.007","0.013","0.111","0.866","0.457","0.091","2.04","0.009","0","1.043","0.168","0","0.009","0","0","0","73.03"
"Lamb shish kabob with vegetables, excluding potatoes","Meat mixed dishes","120","12.12","5","2.33","0.9","5.7","1.961","2.273","0.771","39","0","8","2","87","19","0","38","0.069","0.155","3.079","0.154","0","21","21","21","48.1","1.22","0","12.8","0.1","0.27","0","7","19","114","18","1.25","2.9","0.12","14","236","221","0","0","0","0","0","0","0.009","0.014","0.145","1.067","0.625","0.147","2.073","0.003","0","0.622","0.112","0","0.036","0","0","0","75.95"
"Lamb, baby food, strained","Baby food: meat and dinners","94","14.07","0.85","0","0","3.41","1.65","1.27","0.31","36","0","0","0","0","0","0","0","0.02","0.174","2.908","0.037","0","0","0","0","54.7","1.9","0","1.2","0.1","0.19","0","0.6","7","104","13","1.19","2.43","0.148","2.2","193","43","0","0","0","0","0","0","0","0.01","0.15","0.72","0.68","0.07","1.17","0","0","0.17","0.08","0","0.02","0.02","0.02","0","81.06"
"Lamb, ground or patty, cooked","Lamb, goat, game","281","24.54","0","0","0","19.49","8.052","8.251","1.388","96","0","0","0","0","0","0","0","0.099","0.248","6.644","0.139","0","19","19","19","92.6","2.59","0","0","0.1","0.14","0","5.3","22","199","24","1.78","4.63","0.127","27.5","336","403","0","0","0","0","0","0","0.05","0.079","0.744","4.115","2.608","0.565","7.507","0","0","1.061","0.258","0","0.069","0","0","0","54.64"
"Lamb, loin chop, cooked, lean and fat eaten","Lamb, goat, game","313","24.96","0","0","0","22.89","9.748","9.619","1.666","99","0","0","0","0","0","0","0","0.099","0.248","7.041","0.129","0","18","18","18","93","2.45","0","0","0.1","0.13","0","4.8","20","194","24","1.8","3.45","0.129","27.2","324","399","0","0","0","0","0","0","0.06","0.099","0.912","4.939","3.124","0.664","8.717","0","0","1.25","0.347","0","0.069","0","0","0","51.14"
"Lamb, loin chop, cooked, lean only eaten","Lamb, goat, game","214","29.74","0","0","0","9.65","3.451","4.225","0.635","94","0","0","0","0","0","0","0","0.109","0.278","6.793","0.159","0","24","24","24","107.4","2.5","0","0","0.1","0.16","0","3.9","19","224","28","1.98","4.1","0.144","32.5","373","406","0","0","0","0","0","0","0.02","0.03","0.298","1.854","1.19","0.288","3.917","0","0","0.516","0.06","0","0.06","0","0","0","60.48"
